obs shape -  (4, 84, 84)
global_step=282, episodic_return=[-21.]
global_step=59811, episodic_return=[-20.]
global_step=60246, episodic_return=[-21.]
global_step=60526, episodic_return=[-21.]
global_step=60835, episodic_return=[-21.]
global_step=61277, episodic_return=[-21.]
global_step=61545, episodic_return=[-21.]
global_step=61813, episodic_return=[-21.]
global_step=62291, episodic_return=[-21.]
global_step=62538, episodic_return=[-21.]
global_step=62843, episodic_return=[-20.]
global_step=63282, episodic_return=[-21.]
global_step=63611, episodic_return=[-20.]
global_step=63876, episodic_return=[-21.]
global_step=64283, episodic_return=[-20.]
global_step=64550, episodic_return=[-21.]
global_step=64906, episodic_return=[-19.]
global_step=65310, episodic_return=[-19.]
global_step=65586, episodic_return=[-21.]
global_step=65851, episodic_return=[-21.]
global_step=66299, episodic_return=[-20.]
global_step=66583, episodic_return=[-21.]
global_step=66839, episodic_return=[-21.]
global_step=67305, episodic_return=[-20.]
global_step=67603, episodic_return=[-20.]
global_step=67911, episodic_return=[-21.]
global_step=68317, episodic_return=[-21.]
global_step=68589, episodic_return=[-21.]
global_step=68847, episodic_return=[-21.]
global_step=69269, episodic_return=[-21.]
global_step=69567, episodic_return=[-21.]
global_step=69835, episodic_return=[-21.]
global_step=70321, episodic_return=[-21.]
global_step=70622, episodic_return=[-21.]
global_step=70892, episodic_return=[-21.]
global_step=71298, episodic_return=[-21.]
global_step=71579, episodic_return=[-20.]
global_step=71892, episodic_return=[-21.]
global_step=72277, episodic_return=[-21.]
global_step=72579, episodic_return=[-21.]
global_step=72913, episodic_return=[-21.]
global_step=73311, episodic_return=[-21.]
global_step=73559, episodic_return=[-21.]
global_step=73870, episodic_return=[-20.]
global_step=74311, episodic_return=[-20.]
global_step=74621, episodic_return=[-21.]
global_step=74944, episodic_return=[-21.]
global_step=75308, episodic_return=[-19.]
global_step=75661, episodic_return=[-21.]
global_step=75957, episodic_return=[-21.]
global_step=76304, episodic_return=[-20.]
global_step=76616, episodic_return=[-21.]
global_step=76882, episodic_return=[-21.]
global_step=77290, episodic_return=[-21.]
global_step=77607, episodic_return=[-20.]
global_step=77888, episodic_return=[-21.]
global_step=78257, episodic_return=[-21.]
global_step=78604, episodic_return=[-21.]
global_step=78869, episodic_return=[-21.]
global_step=79275, episodic_return=[-21.]
global_step=79585, episodic_return=[-21.]
global_step=79936, episodic_return=[-21.]
global_step=80317, episodic_return=[-21.]
global_step=80587, episodic_return=[-21.]
global_step=80874, episodic_return=[-21.]
global_step=81246, episodic_return=[-21.]
global_step=81502, episodic_return=[-21.]
global_step=81770, episodic_return=[-21.]
global_step=82346, episodic_return=[-18.]
global_step=82603, episodic_return=[-21.]
global_step=82903, episodic_return=[-21.]
global_step=83339, episodic_return=[-20.]
global_step=83719, episodic_return=[-18.]
global_step=84366, episodic_return=[-20.]
global_step=84648, episodic_return=[-20.]
global_step=84938, episodic_return=[-21.]
global_step=85276, episodic_return=[-21.]
global_step=85574, episodic_return=[-20.]
global_step=85886, episodic_return=[-21.]
global_step=86258, episodic_return=[-21.]
global_step=86525, episodic_return=[-21.]
global_step=86809, episodic_return=[-20.]
global_step=87333, episodic_return=[-20.]
global_step=87639, episodic_return=[-19.]
global_step=87907, episodic_return=[-21.]
global_step=88276, episodic_return=[-21.]
global_step=88551, episodic_return=[-21.]
global_step=88859, episodic_return=[-20.]
global_step=89301, episodic_return=[-21.]
global_step=89572, episodic_return=[-21.]
global_step=89932, episodic_return=[-19.]
global_step=90324, episodic_return=[-21.]
global_step=90627, episodic_return=[-21.]
global_step=90910, episodic_return=[-21.]
global_step=91295, episodic_return=[-20.]
global_step=91546, episodic_return=[-21.]
global_step=91849, episodic_return=[-20.]
global_step=92249, episodic_return=[-21.]
global_step=92532, episodic_return=[-20.]
global_step=92866, episodic_return=[-20.]
global_step=93307, episodic_return=[-20.]
global_step=93662, episodic_return=[-19.]
global_step=93992, episodic_return=[-20.]
global_step=94328, episodic_return=[-21.]
global_step=94579, episodic_return=[-21.]
global_step=94855, episodic_return=[-20.]
global_step=95262, episodic_return=[-21.]
global_step=95535, episodic_return=[-21.]
global_step=95831, episodic_return=[-21.]
global_step=96254, episodic_return=[-21.]
global_step=96597, episodic_return=[-21.]
global_step=96929, episodic_return=[-20.]
global_step=97313, episodic_return=[-21.]
global_step=97582, episodic_return=[-21.]
global_step=97868, episodic_return=[-21.]
global_step=98317, episodic_return=[-21.]
global_step=98651, episodic_return=[-21.]
global_step=98924, episodic_return=[-21.]
global_step=99252, episodic_return=[-21.]
global_step=99568, episodic_return=[-21.]
global_step=99846, episodic_return=[-20.]
global_step=100326, episodic_return=[-20.]
global_step=100629, episodic_return=[-21.]
global_step=100906, episodic_return=[-21.]
global_step=101250, episodic_return=[-21.]
global_step=101551, episodic_return=[-21.]
global_step=101832, episodic_return=[-20.]
global_step=102350, episodic_return=[-20.]
global_step=102646, episodic_return=[-20.]
global_step=102966, episodic_return=[-20.]
global_step=103302, episodic_return=[-21.]
global_step=103611, episodic_return=[-21.]
global_step=103866, episodic_return=[-21.]
global_step=104307, episodic_return=[-21.]
global_step=104558, episodic_return=[-21.]
global_step=104824, episodic_return=[-21.]
global_step=105265, episodic_return=[-21.]
global_step=105567, episodic_return=[-21.]
global_step=105847, episodic_return=[-21.]
global_step=106298, episodic_return=[-21.]
global_step=106661, episodic_return=[-20.]
global_step=106953, episodic_return=[-21.]
global_step=107307, episodic_return=[-20.]
global_step=107579, episodic_return=[-21.]
global_step=107884, episodic_return=[-21.]
global_step=108326, episodic_return=[-19.]
global_step=108601, episodic_return=[-21.]
global_step=108916, episodic_return=[-19.]
global_step=109305, episodic_return=[-21.]
global_step=109577, episodic_return=[-21.]
global_step=109820, episodic_return=[-21.]
global_step=110286, episodic_return=[-20.]
global_step=110602, episodic_return=[-20.]
global_step=110849, episodic_return=[-21.]
global_step=111295, episodic_return=[-21.]
global_step=111585, episodic_return=[-21.]
global_step=111860, episodic_return=[-21.]
global_step=112301, episodic_return=[-21.]
global_step=112593, episodic_return=[-21.]
global_step=112896, episodic_return=[-21.]
global_step=113260, episodic_return=[-21.]
global_step=113558, episodic_return=[-21.]
global_step=113812, episodic_return=[-21.]
global_step=114327, episodic_return=[-21.]
global_step=114626, episodic_return=[-21.]
global_step=114942, episodic_return=[-20.]
global_step=115301, episodic_return=[-20.]
global_step=115553, episodic_return=[-21.]
global_step=115848, episodic_return=[-21.]
global_step=116331, episodic_return=[-21.]
global_step=116627, episodic_return=[-21.]
global_step=116932, episodic_return=[-20.]
global_step=117305, episodic_return=[-21.]
global_step=117604, episodic_return=[-21.]
global_step=117951, episodic_return=[-19.]
global_step=118324, episodic_return=[-19.]
global_step=118631, episodic_return=[-20.]
global_step=118942, episodic_return=[-21.]
global_step=119269, episodic_return=[-21.]
global_step=119611, episodic_return=[-20.]
global_step=119862, episodic_return=[-21.]
global_step=120295, episodic_return=[-20.]
global_step=120560, episodic_return=[-21.]
global_step=120924, episodic_return=[-21.]
global_step=121265, episodic_return=[-21.]
global_step=121587, episodic_return=[-21.]
global_step=121900, episodic_return=[-20.]
global_step=122270, episodic_return=[-21.]
global_step=122552, episodic_return=[-20.]
global_step=122868, episodic_return=[-20.]
global_step=123337, episodic_return=[-21.]
global_step=123607, episodic_return=[-21.]
global_step=123906, episodic_return=[-21.]
global_step=124361, episodic_return=[-19.]
global_step=124650, episodic_return=[-21.]
global_step=124997, episodic_return=[-21.]
global_step=125323, episodic_return=[-20.]
global_step=125588, episodic_return=[-21.]
global_step=126298, episodic_return=[-21.]
global_step=126575, episodic_return=[-21.]
global_step=126843, episodic_return=[-21.]
global_step=127260, episodic_return=[-21.]
global_step=127524, episodic_return=[-21.]
global_step=127773, episodic_return=[-21.]
global_step=128276, episodic_return=[-21.]
global_step=128528, episodic_return=[-21.]
global_step=128776, episodic_return=[-21.]
global_step=129251, episodic_return=[-21.]
global_step=129531, episodic_return=[-21.]
global_step=129777, episodic_return=[-21.]
global_step=130343, episodic_return=[-21.]
global_step=130668, episodic_return=[-20.]
global_step=130945, episodic_return=[-21.]
global_step=131276, episodic_return=[-20.]
global_step=131528, episodic_return=[-21.]
global_step=131778, episodic_return=[-21.]
global_step=132250, episodic_return=[-21.]
global_step=132503, episodic_return=[-21.]
global_step=132754, episodic_return=[-21.]
global_step=133248, episodic_return=[-21.]
global_step=133494, episodic_return=[-21.]
global_step=133741, episodic_return=[-21.]
global_step=133992, episodic_return=[-21.]
global_step=134248, episodic_return=[-21.]
global_step=134496, episodic_return=[-21.]
global_step=134743, episodic_return=[-21.]
global_step=134994, episodic_return=[-21.]
global_step=135254, episodic_return=[-21.]
global_step=135502, episodic_return=[-21.]
global_step=135757, episodic_return=[-21.]
global_step=136255, episodic_return=[-21.]
global_step=136502, episodic_return=[-21.]
global_step=136754, episodic_return=[-21.]
global_step=137252, episodic_return=[-21.]
global_step=137502, episodic_return=[-21.]
global_step=137752, episodic_return=[-21.]
global_step=138247, episodic_return=[-21.]
global_step=138495, episodic_return=[-21.]
global_step=138740, episodic_return=[-21.]
global_step=138989, episodic_return=[-21.]
global_step=139250, episodic_return=[-21.]
global_step=139500, episodic_return=[-21.]
global_step=139751, episodic_return=[-21.]
global_step=139998, episodic_return=[-21.]
global_step=140254, episodic_return=[-21.]
global_step=140505, episodic_return=[-21.]
global_step=140754, episodic_return=[-21.]
global_step=141245, episodic_return=[-21.]
global_step=141496, episodic_return=[-21.]
global_step=141744, episodic_return=[-21.]
global_step=141990, episodic_return=[-21.]
global_step=142248, episodic_return=[-21.]
global_step=142496, episodic_return=[-21.]
global_step=142746, episodic_return=[-21.]
global_step=142996, episodic_return=[-21.]
global_step=143255, episodic_return=[-21.]
global_step=143503, episodic_return=[-21.]
global_step=143754, episodic_return=[-21.]
global_step=143997, episodic_return=[-21.]
global_step=144243, episodic_return=[-21.]
global_step=144494, episodic_return=[-21.]
global_step=144743, episodic_return=[-21.]
global_step=144992, episodic_return=[-21.]
global_step=145250, episodic_return=[-21.]
global_step=145494, episodic_return=[-21.]
global_step=145749, episodic_return=[-21.]
global_step=145997, episodic_return=[-21.]
global_step=146252, episodic_return=[-21.]
global_step=146498, episodic_return=[-21.]
global_step=146749, episodic_return=[-21.]
global_step=147246, episodic_return=[-21.]
global_step=147497, episodic_return=[-21.]
global_step=147749, episodic_return=[-21.]
global_step=147998, episodic_return=[-21.]
global_step=148251, episodic_return=[-21.]
global_step=148505, episodic_return=[-21.]
global_step=148752, episodic_return=[-21.]
global_step=148999, episodic_return=[-21.]
global_step=149251, episodic_return=[-21.]
global_step=149499, episodic_return=[-21.]
global_step=149744, episodic_return=[-21.]
global_step=149994, episodic_return=[-21.]
global_step=150249, episodic_return=[-21.]
global_step=150501, episodic_return=[-21.]
global_step=150746, episodic_return=[-21.]
global_step=150991, episodic_return=[-21.]
global_step=151250, episodic_return=[-21.]
global_step=151499, episodic_return=[-21.]
global_step=151751, episodic_return=[-21.]
global_step=152000, episodic_return=[-21.]
global_step=152245, episodic_return=[-21.]
global_step=152500, episodic_return=[-21.]
global_step=152748, episodic_return=[-21.]
global_step=152993, episodic_return=[-21.]
global_step=153248, episodic_return=[-21.]
global_step=153492, episodic_return=[-21.]
global_step=153742, episodic_return=[-21.]
global_step=153989, episodic_return=[-21.]
global_step=154246, episodic_return=[-21.]
global_step=154495, episodic_return=[-21.]
global_step=154744, episodic_return=[-21.]
global_step=154988, episodic_return=[-21.]
global_step=155245, episodic_return=[-21.]
global_step=155493, episodic_return=[-21.]
global_step=155747, episodic_return=[-21.]
global_step=155991, episodic_return=[-21.]
global_step=156246, episodic_return=[-21.]
global_step=156495, episodic_return=[-21.]
global_step=156741, episodic_return=[-21.]
global_step=156991, episodic_return=[-21.]
global_step=157247, episodic_return=[-21.]
global_step=157495, episodic_return=[-21.]
global_step=157744, episodic_return=[-21.]
global_step=158249, episodic_return=[-21.]
global_step=158501, episodic_return=[-21.]
global_step=158751, episodic_return=[-21.]
global_step=158995, episodic_return=[-21.]
global_step=159250, episodic_return=[-21.]
global_step=159495, episodic_return=[-21.]
global_step=159741, episodic_return=[-21.]
global_step=159997, episodic_return=[-21.]
global_step=160253, episodic_return=[-21.]
global_step=160502, episodic_return=[-21.]
global_step=160752, episodic_return=[-21.]
global_step=161246, episodic_return=[-21.]
global_step=161503, episodic_return=[-21.]
global_step=161754, episodic_return=[-21.]
global_step=162251, episodic_return=[-21.]
global_step=162501, episodic_return=[-21.]
global_step=162745, episodic_return=[-21.]
global_step=162996, episodic_return=[-21.]
global_step=163250, episodic_return=[-21.]
global_step=163501, episodic_return=[-21.]
global_step=163748, episodic_return=[-21.]
global_step=163992, episodic_return=[-21.]
global_step=164253, episodic_return=[-21.]
global_step=164506, episodic_return=[-21.]
global_step=164759, episodic_return=[-21.]
global_step=165255, episodic_return=[-21.]
global_step=165510, episodic_return=[-21.]
global_step=165764, episodic_return=[-21.]
global_step=166248, episodic_return=[-21.]
global_step=166495, episodic_return=[-21.]
global_step=166742, episodic_return=[-21.]
global_step=166988, episodic_return=[-21.]
global_step=167249, episodic_return=[-21.]
global_step=167506, episodic_return=[-21.]
global_step=167746, episodic_return=[-21.]
global_step=167999, episodic_return=[-21.]
global_step=168251, episodic_return=[-21.]
global_step=168503, episodic_return=[-21.]
global_step=168753, episodic_return=[-21.]
global_step=169245, episodic_return=[-21.]
global_step=169498, episodic_return=[-21.]
global_step=169749, episodic_return=[-21.]
global_step=169998, episodic_return=[-21.]
global_step=170245, episodic_return=[-21.]
global_step=170493, episodic_return=[-21.]
global_step=170737, episodic_return=[-21.]
global_step=170989, episodic_return=[-21.]
global_step=171251, episodic_return=[-21.]
global_step=171506, episodic_return=[-21.]
global_step=171757, episodic_return=[-21.]
global_step=172251, episodic_return=[-21.]
global_step=172499, episodic_return=[-21.]
global_step=172750, episodic_return=[-21.]
global_step=173247, episodic_return=[-21.]
global_step=173502, episodic_return=[-21.]
global_step=173752, episodic_return=[-21.]
global_step=173998, episodic_return=[-21.]
global_step=174248, episodic_return=[-21.]
global_step=174498, episodic_return=[-21.]
global_step=174749, episodic_return=[-21.]
global_step=174999, episodic_return=[-21.]
global_step=175248, episodic_return=[-21.]
global_step=175494, episodic_return=[-21.]
global_step=175742, episodic_return=[-21.]
global_step=175994, episodic_return=[-21.]
global_step=176247, episodic_return=[-21.]
global_step=176494, episodic_return=[-21.]
global_step=176741, episodic_return=[-21.]
global_step=176988, episodic_return=[-21.]
global_step=177253, episodic_return=[-21.]
global_step=177500, episodic_return=[-21.]
global_step=177746, episodic_return=[-21.]
global_step=177996, episodic_return=[-21.]
global_step=178248, episodic_return=[-21.]
global_step=178499, episodic_return=[-21.]
global_step=178748, episodic_return=[-21.]
global_step=178995, episodic_return=[-21.]
global_step=179255, episodic_return=[-21.]
global_step=179509, episodic_return=[-21.]
global_step=179760, episodic_return=[-21.]
global_step=180247, episodic_return=[-21.]
global_step=180494, episodic_return=[-21.]
global_step=180741, episodic_return=[-21.]
global_step=180989, episodic_return=[-21.]
global_step=181246, episodic_return=[-21.]
global_step=181492, episodic_return=[-21.]
global_step=181745, episodic_return=[-21.]
global_step=181995, episodic_return=[-21.]
global_step=182248, episodic_return=[-21.]
global_step=182494, episodic_return=[-21.]
global_step=182739, episodic_return=[-21.]
global_step=182992, episodic_return=[-21.]
global_step=183247, episodic_return=[-21.]
global_step=183493, episodic_return=[-21.]
global_step=183738, episodic_return=[-21.]
global_step=183986, episodic_return=[-21.]
global_step=184249, episodic_return=[-21.]
global_step=184499, episodic_return=[-21.]
global_step=184753, episodic_return=[-21.]
global_step=185000, episodic_return=[-21.]
global_step=185253, episodic_return=[-21.]
global_step=185503, episodic_return=[-21.]
global_step=185751, episodic_return=[-21.]
global_step=186245, episodic_return=[-21.]
global_step=186495, episodic_return=[-21.]
global_step=186751, episodic_return=[-21.]
global_step=187000, episodic_return=[-21.]
global_step=187249, episodic_return=[-21.]
global_step=187501, episodic_return=[-21.]
global_step=187756, episodic_return=[-21.]
global_step=188246, episodic_return=[-21.]
global_step=188490, episodic_return=[-21.]
global_step=188739, episodic_return=[-21.]
global_step=188982, episodic_return=[-21.]
global_step=189252, episodic_return=[-21.]
global_step=189501, episodic_return=[-21.]
global_step=189755, episodic_return=[-21.]
global_step=190251, episodic_return=[-21.]
global_step=190501, episodic_return=[-21.]
global_step=190752, episodic_return=[-21.]
global_step=191000, episodic_return=[-21.]
global_step=191249, episodic_return=[-21.]
global_step=191504, episodic_return=[-21.]
global_step=191760, episodic_return=[-21.]
global_step=192254, episodic_return=[-21.]
global_step=192502, episodic_return=[-21.]
global_step=192749, episodic_return=[-21.]
global_step=192997, episodic_return=[-21.]
global_step=193246, episodic_return=[-21.]
global_step=193499, episodic_return=[-21.]
global_step=193744, episodic_return=[-21.]
global_step=193997, episodic_return=[-21.]
global_step=194248, episodic_return=[-21.]
global_step=194502, episodic_return=[-21.]
global_step=194746, episodic_return=[-21.]
global_step=194997, episodic_return=[-21.]
global_step=195249, episodic_return=[-21.]
global_step=195496, episodic_return=[-21.]
global_step=195747, episodic_return=[-21.]
global_step=196248, episodic_return=[-21.]
global_step=196496, episodic_return=[-21.]
global_step=196739, episodic_return=[-21.]
global_step=196987, episodic_return=[-21.]
global_step=197245, episodic_return=[-21.]
global_step=197496, episodic_return=[-21.]
global_step=197750, episodic_return=[-21.]
global_step=197999, episodic_return=[-21.]
global_step=198251, episodic_return=[-21.]
global_step=198497, episodic_return=[-21.]
global_step=198744, episodic_return=[-21.]
global_step=198989, episodic_return=[-21.]
global_step=199253, episodic_return=[-21.]
global_step=199505, episodic_return=[-21.]
global_step=199751, episodic_return=[-21.]
global_step=200254, episodic_return=[-21.]
global_step=200505, episodic_return=[-21.]
global_step=200755, episodic_return=[-21.]
global_step=201247, episodic_return=[-21.]
global_step=201497, episodic_return=[-21.]
global_step=201739, episodic_return=[-21.]
global_step=201988, episodic_return=[-21.]
global_step=202249, episodic_return=[-21.]
global_step=202495, episodic_return=[-21.]
global_step=202745, episodic_return=[-21.]
global_step=202989, episodic_return=[-21.]
global_step=203253, episodic_return=[-21.]
global_step=203503, episodic_return=[-21.]
global_step=203745, episodic_return=[-21.]
global_step=204253, episodic_return=[-21.]
global_step=204501, episodic_return=[-21.]
global_step=204752, episodic_return=[-21.]
global_step=205244, episodic_return=[-21.]
global_step=205489, episodic_return=[-21.]
global_step=205740, episodic_return=[-21.]
global_step=205989, episodic_return=[-21.]
global_step=206251, episodic_return=[-21.]
global_step=206504, episodic_return=[-21.]
global_step=206752, episodic_return=[-21.]
global_step=206999, episodic_return=[-21.]
global_step=207249, episodic_return=[-21.]
global_step=207494, episodic_return=[-21.]
global_step=207746, episodic_return=[-21.]
global_step=207988, episodic_return=[-21.]
global_step=208251, episodic_return=[-21.]
global_step=208501, episodic_return=[-21.]
global_step=208747, episodic_return=[-21.]
global_step=208996, episodic_return=[-21.]
global_step=209250, episodic_return=[-21.]
global_step=209501, episodic_return=[-21.]
global_step=209753, episodic_return=[-21.]
global_step=210247, episodic_return=[-21.]
global_step=210498, episodic_return=[-21.]
global_step=210744, episodic_return=[-21.]
global_step=210996, episodic_return=[-21.]
global_step=211252, episodic_return=[-21.]
global_step=211503, episodic_return=[-21.]
global_step=211760, episodic_return=[-21.]
global_step=212249, episodic_return=[-21.]
global_step=212515, episodic_return=[-21.]
global_step=212768, episodic_return=[-21.]
global_step=213249, episodic_return=[-21.]
global_step=213497, episodic_return=[-21.]
global_step=213742, episodic_return=[-21.]
global_step=213987, episodic_return=[-21.]
global_step=214249, episodic_return=[-21.]
global_step=214517, episodic_return=[-21.]
global_step=214761, episodic_return=[-21.]
global_step=215250, episodic_return=[-21.]
global_step=215494, episodic_return=[-21.]
global_step=215740, episodic_return=[-21.]
global_step=215988, episodic_return=[-21.]
global_step=216248, episodic_return=[-21.]
global_step=216501, episodic_return=[-21.]
global_step=216753, episodic_return=[-21.]
global_step=216997, episodic_return=[-21.]
global_step=217250, episodic_return=[-21.]
global_step=217498, episodic_return=[-21.]
global_step=217747, episodic_return=[-21.]
global_step=217995, episodic_return=[-21.]
global_step=218246, episodic_return=[-21.]
global_step=218492, episodic_return=[-21.]
global_step=218743, episodic_return=[-21.]
global_step=218992, episodic_return=[-21.]
global_step=219254, episodic_return=[-21.]
global_step=219498, episodic_return=[-21.]
global_step=219746, episodic_return=[-21.]
global_step=219994, episodic_return=[-21.]
global_step=220246, episodic_return=[-21.]
global_step=220491, episodic_return=[-21.]
global_step=220736, episodic_return=[-21.]
global_step=220983, episodic_return=[-21.]
global_step=221251, episodic_return=[-21.]
step=212748, episodic_return=[-21.]
global_step=212992, episodic_return=[-21.]
global_step=213243, episodic_return=[-21.]
global_step=213495, episodic_return=[-21.]
global_step=213741, episodic_return=[-21.]
global_step=213990, episodic_return=[-21.]
global_step=214260, episodic_return=[-21.]
global_step=214506, episodic_return=[-21.]
global_step=214758, episodic_return=[-21.]
global_step=215250, episodic_return=[-21.]
global_step=215499, episodic_return=[-21.]
